WARN: Client connection error: Connection reset
ETR at step 12 = 26.99999999999999
ETR at step 13 = 26.999999999999993
ETR at step 14 = 27.99999999999998
ETR at step 15 = 28.999999999999993
ETR at step 16 = 30.999999999999996
ETR at step 17 = 33.0
ETR at step 18 = 33.99999999999999
ETR at step 19 = 34.0
ETR at step 20 = 34.999999999999986
ETR at step 21 = 35.000000000000014
ETR at step 22 = 35.0
ETR at step 23 = 35.0
ETR at step 24 = 35.0
ETR at step 25 = 35.00000000000001
ETR at step 26 = 34.99999999999998
ETR at step 27 = 34.99999999999999
ETR at step 28 = 34.999999999999986
ETR at step 29 = 35.0
ETR at step 30 = 35.0
ETR at step 31 = 35.99999999999999
ETR at step 32 = 36.0
ETR at step 33 = 36.00000000000001
ETR at step 34 = 37.0
ETR at step 35 = 39.0
ETR at step 36 = 40.99999999999999
ETR at step 37 = 45.99999999999999
ETR at step 38 = 50.0
ETR at step 39 = 51.99999999999999
ETR at step 40 = 53.99999999999999
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.9999999999999973
ETR at step 2 = 6.0
ETR at step 3 = 8.999999999999998
ETR at step 4 = 10.000000000000004
ETR at step 5 = 10.000000000000002
ETR at step 6 = 10.000000000000004
ETR at step 7 = 10.000000000000004
ETR at step 8 = 11.0
ETR at step 9 = 11.000000000000005
ETR at step 10 = 11.000000000000002
ETR at step 11 = 11.000000000000002
ETR at step 12 = 10.999999999999995
ETR at step 13 = 10.99999999999999
ETR at step 14 = 10.999999999999993
ETR at step 15 = 11.000000000000002
ETR at step 16 = 11.999999999999998
ETR at step 17 = 13.000000000000002
ETR at step 18 = 12.999999999999996
ETR at step 19 = 13.0
ETR at step 20 = 12.999999999999996
ETR at step 21 = 13.0
ETR at step 22 = 12.0
ETR at step 23 = 12.0
ETR at step 24 = 12.000000000000007
ETR at step 25 = 12.000000000000004
ETR at step 26 = 11.999999999999993
ETR at step 27 = 11.999999999999996
ETR at step 28 = 11.999999999999998
ETR at step 29 = 12.0
ETR at step 30 = 12.999999999999996
ETR at step 31 = 14.0
ETR at step 32 = 14.0
ETR at step 33 = 14.000000000000002
ETR at step 34 = 14.0
ETR at step 35 = 13.0
ETR at step 36 = 13.0
ETR at step 37 = 14.0
ETR at step 38 = 14.0
ETR at step 39 = 14.0
ETR at step 40 = 14.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.9999999999999938
ETR at step 2 = 6.0
ETR at step 3 = 9.999999999999996
ETR at step 4 = 13.999999999999996
ETR at step 5 = 19.00000000000001
ETR at step 6 = 22.999999999999993
ETR at step 7 = 26.0
ETR at step 8 = 27.000000000000004
ETR at step 9 = 27.0
ETR at step 10 = 27.000000000000007
ETR at step 11 = 26.999999999999993
ETR at step 12 = 26.999999999999986
ETR at step 13 = 26.999999999999993
ETR at step 14 = 26.99999999999998
ETR at step 15 = 25.99999999999999
ETR at step 16 = 26.0
ETR at step 17 = 26.0
ETR at step 18 = 25.999999999999996
ETR at step 19 = 26.0
ETR at step 20 = 26.999999999999986
ETR at step 21 = 27.000000000000004
ETR at step 22 = 27.0
ETR at step 23 = 28.000000000000004
ETR at step 24 = 28.000000000000004
ETR at step 25 = 29.0
ETR at step 26 = 28.999999999999982
ETR at step 27 = 28.999999999999996
ETR at step 28 = 28.999999999999982
ETR at step 29 = 30.0
ETR at step 30 = 29.999999999999996
ETR at step 31 = 31.0
ETR at step 32 = 31.0
ETR at step 33 = 31.000000000000004
ETR at step 34 = 31.0
ETR at step 35 = 31.99999999999999
ETR at step 36 = 31.999999999999993
ETR at step 37 = 33.00000000000001
ETR at step 38 = 34.0
ETR at step 39 = 34.0
ETR at step 40 = 35.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.9999999999999938
ETR at step 2 = 4.000000000000001
ETR at step 3 = 7.000000000000005
ETR at step 4 = 11.000000000000005
ETR at step 5 = 16.000000000000004
ETR at step 6 = 19.999999999999993
ETR at step 7 = 22.000000000000007
ETR at step 8 = 24.000000000000004
ETR at step 9 = 27.0
ETR at step 10 = 30.000000000000007
ETR at step 11 = 33.99999999999999
ETR at step 12 = 37.99999999999999
ETR at step 13 = 42.0
ETR at step 14 = 46.99999999999999
ETR at step 15 = 52.0
ETR at step 16 = 57.99999999999999
ETR at step 17 = 60.999999999999986
ETR at step 18 = 60.99999999999999
ETR at step 19 = 61.999999999999986
ETR at step 20 = 63.999999999999986
ETR at step 21 = 66.99999999999999
ETR at step 22 = 70.00000000000001
ETR at step 23 = 73.0
ETR at step 24 = 78.0
ETR at step 25 = 82.99999999999999
ETR at step 26 = 86.99999999999999
ETR at step 27 = 88.00000000000001
ETR at step 28 = 87.99999999999999
ETR at step 29 = 87.99999999999997
ETR at step 30 = 89.0
ETR at step 31 = 89.0
ETR at step 32 = 90.0
ETR at step 33 = 90.00000000000001
ETR at step 34 = 90.0
ETR at step 35 = 90.99999999999999
ETR at step 36 = 91.0
ETR at step 37 = 91.00000000000001
ETR at step 38 = 91.0
ETR at step 39 = 91.0
ETR at step 40 = 92.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 8.000000000000004
ETR at step 3 = 11.999999999999995
ETR at step 4 = 15.000000000000004
ETR at step 5 = 17.000000000000007
ETR at step 6 = 19.0
ETR at step 7 = 19.000000000000004
ETR at step 8 = 20.00000000000001
ETR at step 9 = 20.000000000000007
ETR at step 10 = 20.000000000000004
ETR at step 11 = 19.999999999999993
ETR at step 12 = 19.999999999999996
ETR at step 13 = 19.999999999999993
ETR at step 14 = 19.999999999999996
ETR at step 15 = 20.0
ETR at step 16 = 21.0
ETR at step 17 = 21.0
ETR at step 18 = 20.999999999999996
ETR at step 19 = 21.0
ETR at step 20 = 20.999999999999996
ETR at step 21 = 21.000000000000007
ETR at step 22 = 20.999999999999996
ETR at step 23 = 20.0
ETR at step 24 = 22.0
ETR at step 25 = 24.0
ETR at step 26 = 28.000000000000004
ETR at step 27 = 30.0
ETR at step 28 = 33.99999999999999
ETR at step 29 = 38.0
ETR at step 30 = 43.0
ETR at step 31 = 47.0
ETR at step 32 = 49.99999999999999
ETR at step 33 = 53.0
ETR at step 34 = 55.00000000000001
ETR at step 35 = 58.999999999999986
ETR at step 36 = 63.0
ETR at step 37 = 66.0
ETR at step 38 = 70.0
ETR at step 39 = 74.0
ETR at step 40 = 77.00000000000001
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 4.000000000000003
ETR at step 2 = 9.000000000000005
ETR at step 3 = 13.999999999999996
ETR at step 4 = 20.000000000000007
ETR at step 5 = 24.0
ETR at step 6 = 28.999999999999993
ETR at step 7 = 33.0
ETR at step 8 = 36.0
ETR at step 9 = 39.00000000000001
ETR at step 10 = 41.00000000000001
ETR at step 11 = 44.0
ETR at step 12 = 47.99999999999997
ETR at step 13 = 52.0
ETR at step 14 = 52.99999999999999
ETR at step 15 = 54.0
ETR at step 16 = 53.99999999999999
ETR at step 17 = 54.0
ETR at step 18 = 53.99999999999999
ETR at step 19 = 53.999999999999986
ETR at step 20 = 53.99999999999999
ETR at step 21 = 55.0
ETR at step 22 = 55.99999999999998
ETR at step 23 = 56.0
ETR at step 24 = 56.00000000000001
ETR at step 25 = 58.0
ETR at step 26 = 59.99999999999998
ETR at step 27 = 62.0
ETR at step 28 = 64.0
ETR at step 29 = 66.00000000000001
ETR at step 30 = 71.00000000000001
ETR at step 31 = 74.99999999999999
ETR at step 32 = 76.99999999999999
ETR at step 33 = 78.0
ETR at step 34 = 78.0
ETR at step 35 = 78.0
ETR at step 36 = 79.0
ETR at step 37 = 80.0
ETR at step 38 = 80.00000000000001
ETR at step 39 = 80.00000000000001
ETR at step 40 = 80.99999999999999
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 7.0
ETR at step 3 = 10.999999999999996
ETR at step 4 = 13.000000000000004
ETR at step 5 = 15.000000000000004
ETR at step 6 = 15.0
ETR at step 7 = 15.000000000000004
ETR at step 8 = 15.000000000000002
ETR at step 9 = 15.000000000000007
ETR at step 10 = 15.000000000000004
ETR at step 11 = 17.000000000000004
ETR at step 12 = 17.99999999999999
ETR at step 13 = 17.999999999999993
ETR at step 14 = 17.99999999999999
ETR at step 15 = 18.0
ETR at step 16 = 17.999999999999996
ETR at step 17 = 18.000000000000004
ETR at step 18 = 17.999999999999996
ETR at step 19 = 18.999999999999996
ETR at step 20 = 18.999999999999986
ETR at step 21 = 19.0
ETR at step 22 = 19.0
ETR at step 23 = 19.000000000000007
ETR at step 24 = 19.000000000000004
ETR at step 25 = 19.0
ETR at step 26 = 19.0
ETR at step 27 = 19.0
ETR at step 28 = 18.999999999999982
ETR at step 29 = 19.0
ETR at step 30 = 19.0
ETR at step 31 = 19.0
ETR at step 32 = 18.999999999999996
ETR at step 33 = 19.0
ETR at step 34 = 19.000000000000004
ETR at step 35 = 19.0
ETR at step 36 = 19.0
ETR at step 37 = 19.000000000000004
ETR at step 38 = 19.000000000000004
ETR at step 39 = 19.000000000000004
ETR at step 40 = 20.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 6.0
ETR at step 3 = 9.999999999999991
ETR at step 4 = 15.000000000000005
ETR at step 5 = 19.000000000000004
ETR at step 6 = 21.999999999999996
ETR at step 7 = 25.0
ETR at step 8 = 28.000000000000007
ETR at step 9 = 31.0
ETR at step 10 = 35.0
ETR at step 11 = 37.99999999999999
ETR at step 12 = 39.99999999999999
ETR at step 13 = 43.0
ETR at step 14 = 45.999999999999986
ETR at step 15 = 48.99999999999999
ETR at step 16 = 53.0
ETR at step 17 = 55.00000000000001
